ticker,price,box_top,box_bottom,pct_above_box,vol_today,vol_avg_20d,vol_ratio,suggested_stop,target_30pct,risk_pct,rr_ratio,box_range_pct,ma20,ma_rising,price_vs_ma20_pct,score,grade,tier,emoji
ZEEL.NS,112.27,107.5,81.82,4.44,230280587,28307299,8.14,105.35,145.95,6.16,4.87,23.89,90.37,True,24.24,80,B+,SOLID,🟡
ACUTAAS.NS,3328.3,3188.1,2714.5,4.4,1067585,403808,2.64,3124.34,4326.79,6.13,4.9,14.86,2956.67,True,12.57,79,B+,SOLID,🟡
HSCL.NS,685.05,646.0,539.6,6.04,24445679,9955730,2.46,633.08,890.56,7.59,3.95,16.47,604.49,True,13.33,72,B,SOLID,🟡
ACMESOLAR.NS,356.65,347.6,267.65,2.6,6661042,2909701,2.29,340.65,463.64,4.49,6.69,23.0,301.34,True,18.36,69,C+,MARGINAL,🟠
ADANIENT.NS,3048.2,3027.5,2647.5,0.68,5617327,2774660,2.02,2966.95,3962.66,2.67,11.25,12.55,2794.68,True,9.07,66,C+,MARGINAL,🟠
