ticker,price,box_top,box_bottom,pct_above_box,vol_today,vol_avg_20d,vol_ratio,suggested_stop,target_30pct,risk_pct,rr_ratio,box_range_pct,ma20,ma_rising,price_vs_ma20_pct,score,grade,tier,emoji
CCL.NS,1173.0,1134.0,1043.0,3.44,6371427,188665,33.77,1111.32,1524.9,5.26,5.71,8.02,1087.37,True,7.88,89,A,CLEAN,🟢
CARTRADE.NS,2069.8,1983.3,1690.1,4.36,1600818,604650,2.65,1943.63,2690.74,6.1,4.92,14.78,1828.3,True,13.21,79,B+,SOLID,🟡
CAPLIPOINT.NS,2111.0,2099.0,1950.0,0.57,628303,226885,2.77,2057.02,2744.3,2.56,11.73,7.1,2004.14,True,5.33,73,B,SOLID,🟡
KIMS.NS,801.2,797.0,716.0,0.53,1909568,659846,2.89,781.06,1041.56,2.51,11.93,10.16,762.66,True,5.05,69,C+,MARGINAL,🟠
ZYDUSWELL.NS,523.5,522.8,480.0,0.13,1320574,464725,2.84,512.34,680.55,2.13,14.08,8.19,499.74,True,4.75,66,C+,MARGINAL,🟠
TATATECH.NS,779.6,776.0,629.4,0.46,3771281,1649105,2.29,760.48,1013.48,2.45,12.23,18.89,690.22,True,12.95,63,C+,MARGINAL,🟠
